JKSAINIK SCHOOL MANASBAL  ,,,,,
Detailed Report Of Installed Cameras,,,,,
Academic Block,,,,,
SN,Camera ID,Camera Type,Locarion,Status,Remarks
1,CAM-001,Analog IR camera,Class 12th A ,Functional,(Make CP Plus 2.4 MP)
2,CAM-002,Analog IR camera,Class 11th A ,non Functional,Connector + DVR
3,CAM-003,Analog IR camera,Class 10th A ,Functional,
4,CAM-004,Analog IR camera,Class 10th B ,non Functional,Connector problem
5,CAM-005,Analog IR camera,Class 9th A ,non Functional,Connector problem
6,CAM-006,Analog IR camera,Class 9th B ,Functional,
7,CAM-007,Analog IR camera,Class 8th A ,Functional,
8,CAM-008,Analog IR camera,Class 8th B ,non Functional,Connector + DVR
9,CAM-009,Analog IR camera,Class 7th A ,Functional,
10,CAM-010,Analog IR camera,Class 7th B ,non Functional,Connector + DVR
11,CAM-011,Analog IR camera,Class 6th A ,non Functional,Connector + DVR
12,CAM-012,Analog IR camera,Class 6th B ,non Functional,Connector + DVR
13,CAM-013,Analog IR camera,Corridor 1 ,non Functional,Connector problem
14,CAM-014,Analog IR camera,Corridor 2,Functional,
15,CAM-015,Analog IR camera,Corridor 3,Functional,
16,CAM-016,Analog IR camera,Corridor 4,Functional,
17,CAM-017,Analog IR camera,Computer Lab,Functional,
18,CAM-018,Analog IR Camera,ICT Lab,non Functional,Connector + DVR
19,CAM-019,Network IP Camera,AstroPhysics Lab,Functional,
20,CAM-020,Network IP Camera,Chemistry Lab,Functional,
21,CAM-021,Network IP Camera,Biology Lab,Functional,
,,,,,
Admin Block,,,,,
SN,Camera ID,Camera Type,Locarion,Status,Remarks
1,CAM-022,Network IP Camera,Lobby,Functional,(Make Hi Focus 2 MP)
2,CAM-022,Network IP Camera,Examination Cell,Not Available,For rapairing
3,CAM-023,Analog IR Camera,Library,Functional,(Make CP Plus 2.4 MP)
4,CAM-024,Analog IR Camera,Art Lab,Functional,
5,CAM-025,Analog IR Camera,AD block 1,Functional,
